,ID,DATE,CURRENCY,PX_LAST,INDEX
359,LBUSTRUU Index,2014-09-14,,,LBUSTRUU Index
360,LBUSTRUU Index,2014-09-15,,1874.77,LBUSTRUU Index
361,LBUSTRUU Index,2014-09-16,,1874.98,LBUSTRUU Index
362,LBUSTRUU Index,2014-09-17,,1873.62,LBUSTRUU Index
363,LBUSTRUU Index,2014-09-18,,1872.43,LBUSTRUU Index
364,LBUSTRUU Index,2014-09-19,,1876.24,LBUSTRUU Index
365,LBUSTRUU Index,2014-09-20,,,LBUSTRUU Index
366,LBUSTRUU Index,2014-09-21,,,LBUSTRUU Index
367,LBUSTRUU Index,2014-09-22,,1878.52,LBUSTRUU Index
368,LBUSTRUU Index,2014-09-23,,1881.09,LBUSTRUU Index
369,LBUSTRUU Index,2014-09-24,,1878.22,LBUSTRUU Index
370,LBUSTRUU Index,2014-09-25,,1882.77,LBUSTRUU Index
371,LBUSTRUU Index,2014-09-26,,1880.4,LBUSTRUU Index
372,LBUSTRUU Index,2014-09-27,,,LBUSTRUU Index
373,LBUSTRUU Index,2014-09-28,,,LBUSTRUU Index
374,LBUSTRUU Index,2014-09-29,,1882.74,LBUSTRUU Index
375,LBUSTRUU Index,2014-09-30,,1881.11,LBUSTRUU Index
376,LBUSTRUU Index,2014-10-01,,1890.44,LBUSTRUU Index
377,LBUSTRUU Index,2014-10-02,,1888.14,LBUSTRUU Index
378,LBUSTRUU Index,2014-10-03,,1888.08,LBUSTRUU Index
379,LBUSTRUU Index,2014-10-04,,,LBUSTRUU Index
380,LBUSTRUU Index,2014-10-05,,,LBUSTRUU Index
381,LBUSTRUU Index,2014-10-06,,1890.99,LBUSTRUU Index
382,LBUSTRUU Index,2014-10-07,,1896.81,LBUSTRUU Index
383,LBUSTRUU Index,2014-10-08,,1899.33,LBUSTRUU Index
384,LBUSTRUU Index,2014-10-09,,1899.13,LBUSTRUU Index
385,LBUSTRUU Index,2014-10-10,,1899.96,LBUSTRUU Index
386,LBUSTRUU Index,2014-10-11,,,LBUSTRUU Index
